country,region,period.num,period,industry,site,unit,site.unit,BP.cal.median,C14.mean,C14.SD,C14.CV,calib.curve,sample.id,delta.C13,sample.type,method&ID,latitude,longitude,east.cord,north.coord,material,species,life.span,domestic,citation.short,citation,source,comments,dataset
Spain,València,4,Holocene,NA,Cara-Sol de Vernissa,NA,Cara-Sol de Vernissa,NA,4657,19,0.0040798797509126,intcal20,MAMS20435,NA,NA,NA,38.9676,-0.563,NA,NA,Hueso,Humano,Corta,NA,NA,NA,NA,NA,Cortell2022
Spain,Cuenca,4,Holocene,NA,El Cerro del Cuco,NA,El Cerro del Cuco,NA,3350,20,0.00597014925373134,intcal20,CSIC917,NA,NA,NA,39.3938,-1.9435,NA,NA,Carbon,carbón,Larga,NA,NA,NA,NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,La Atalaya,tumba 6 (cámara y corredor),La Atalaya tumba 6 (cámara y corredor),NA,3844,20,0.00520291363163372,intcal20,ETH74308,-24.1,Singular,NA,37.36083,-2.36907,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2017,"Aranda Jiménez, Gonzalo, Águeda Lozano Medina, María Dolores Cámalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angélique Nonza-Micaelli, & Xavier Clop ( 2017) La Cronología Radiocarbónica de las Primeras Manifestaciones Megalíticas en el Sureste de la Península Ibérica: Las Necrópolis de las Churuletas, la Atalaya y Llano del Jautón (Purchena, Almería). Trabajos de Prehistoria [0082-5638] 74(2):257-277.",NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,La Atalaya,tumba 6 (cámara y corredor),La Atalaya tumba 6 (cámara y corredor),NA,3922,20,0.00509943906170321,intcal20,ETH74309,-16.4,Singular,NA,37.36083,-2.36907,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2017,"Aranda Jiménez, Gonzalo, Águeda Lozano Medina, María Dolores Cámalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angélique Nonza-Micaelli, & Xavier Clop ( 2017) La Cronología Radiocarbónica de las Primeras Manifestaciones Megalíticas en el Sureste de la Península Ibérica: Las Necrópolis de las Churuletas, la Atalaya y Llano del Jautón (Purchena, Almería). Trabajos de Prehistoria [0082-5638] 74(2):257-277.",NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,La Atalaya,tumba 6 (cámara y corredor),La Atalaya tumba 6 (cámara y corredor),NA,3925,20,0.00509554140127389,intcal20,ETH74310,-16.5,Singular,NA,37.36083,-2.36907,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2017,"Aranda Jiménez, Gonzalo, Águeda Lozano Medina, María Dolores Cámalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angélique Nonza-Micaelli, & Xavier Clop ( 2017) La Cronología Radiocarbónica de las Primeras Manifestaciones Megalíticas en el Sureste de la Península Ibérica: Las Necrópolis de las Churuletas, la Atalaya y Llano del Jautón (Purchena, Almería). Trabajos de Prehistoria [0082-5638] 74(2):257-277.",NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,La Atalaya,tumba 6 (cámara y corredor),La Atalaya tumba 6 (cámara y corredor),NA,3928,20,0.00509164969450102,intcal20,ETH74311,-15.3,Singular,NA,37.36083,-2.36907,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2017,"Aranda Jiménez, Gonzalo, Águeda Lozano Medina, María Dolores Cámalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angélique Nonza-Micaelli, & Xavier Clop ( 2017) La Cronología Radiocarbónica de las Primeras Manifestaciones Megalíticas en el Sureste de la Península Ibérica: Las Necrópolis de las Churuletas, la Atalaya y Llano del Jautón (Purchena, Almería). Trabajos de Prehistoria [0082-5638] 74(2):257-277.",NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,Llanos del Jautón,tumba 1 (Rundgrab),Llanos del Jautón tumba 1 (Rundgrab),NA,4163,20,0.00480422772039395,intcal20,ETH74312,-18.3,Singular,NA,37.37055,-2.34544,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2017,"Aranda Jiménez, Gonzalo, Águeda Lozano Medina, María Dolores Cámalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angélique Nonza-Micaelli, & Xavier Clop ( 2017) La Cronología Radiocarbónica de las Primeras Manifestaciones Megalíticas en el Sureste de la Península Ibérica: Las Necrópolis de las Churuletas, la Atalaya y Llano del Jautón (Purchena, Almería). Trabajos de Prehistoria [0082-5638] 74(2):257-277.",NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,Llanos del Jautón,tumba 1 (Rundgrab),Llanos del Jautón tumba 1 (Rundgrab),NA,4164,20,0.0048030739673391,intcal20,ETH74313,-17.4,Singular,NA,37.37055,-2.34544,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2017,"Aranda Jiménez, Gonzalo, Águeda Lozano Medina, María Dolores Cámalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angélique Nonza-Micaelli, & Xavier Clop ( 2017) La Cronología Radiocarbónica de las Primeras Manifestaciones Megalíticas en el Sureste de la Península Ibérica: Las Necrópolis de las Churuletas, la Atalaya y Llano del Jautón (Purchena, Almería). Trabajos de Prehistoria [0082-5638] 74(2):257-277.",NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,Llanos del Jautón,tumba 1 (Rundgrab),Llanos del Jautón tumba 1 (Rundgrab),NA,4175,20,0.00479041916167665,intcal20,ETH74314,-18.5,Singular,NA,37.37055,-2.34544,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2017,"Aranda Jiménez, Gonzalo, Águeda Lozano Medina, María Dolores Cámalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angélique Nonza-Micaelli, & Xavier Clop ( 2017) La Cronología Radiocarbónica de las Primeras Manifestaciones Megalíticas en el Sureste de la Península Ibérica: Las Necrópolis de las Churuletas, la Atalaya y Llano del Jautón (Purchena, Almería). Trabajos de Prehistoria [0082-5638] 74(2):257-277.",NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,Llanos del Jautón,tumba 1 (Rundgrab),Llanos del Jautón tumba 1 (Rundgrab),NA,4148,20,0.00482160077145612,intcal20,ETH74315,-13.2,Singular,NA,37.37055,-2.34544,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2017,"Aranda Jiménez, Gonzalo, Águeda Lozano Medina, María Dolores Cámalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angélique Nonza-Micaelli, & Xavier Clop ( 2017) La Cronología Radiocarbónica de las Primeras Manifestaciones Megalíticas en el Sureste de la Península Ibérica: Las Necrópolis de las Churuletas, la Atalaya y Llano del Jautón (Purchena, Almería). Trabajos de Prehistoria [0082-5638] 74(2):257-277.",NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,Llanos del Jautón,tumba 1 (Rundgrab),Llanos del Jautón tumba 1 (Rundgrab),NA,4112,20,0.00486381322957198,intcal20,ETH74316,-19.3,Singular,NA,37.37055,-2.34544,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2017,"Aranda Jiménez, Gonzalo, Águeda Lozano Medina, María Dolores Cámalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angélique Nonza-Micaelli, & Xavier Clop ( 2017) La Cronología Radiocarbónica de las Primeras Manifestaciones Megalíticas en el Sureste de la Península Ibérica: Las Necrópolis de las Churuletas, la Atalaya y Llano del Jautón (Purchena, Almería). Trabajos de Prehistoria [0082-5638] 74(2):257-277.",NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,Llanos del Jautón,tumba 1 (Rundgrab),Llanos del Jautón  tumba 1 (Rundgrab),NA,4151,20,0.00481811611659841,intcal20,ETH74317,-16.6,Singular,NA,37.37055,-2.34544,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2017,"Aranda Jiménez, Gonzalo, Águeda Lozano Medina, María Dolores Cámalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angélique Nonza-Micaelli, & Xavier Clop ( 2017) La Cronología Radiocarbónica de las Primeras Manifestaciones Megalíticas en el Sureste de la Península Ibérica: Las Necrópolis de las Churuletas, la Atalaya y Llano del Jautón (Purchena, Almería). Trabajos de Prehistoria [0082-5638] 74(2):257-277.",NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,Llanos del Jautón,tumba 1 (Rundgrab),Llanos del Jautón tumba 1 (Rundgrab),NA,4153,20,0.00481579581025765,intcal20,ETH74318,-17.3,Singular,NA,37.37055,-2.34544,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2017,"Aranda Jiménez, Gonzalo, Águeda Lozano Medina, María Dolores Cámalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angélique Nonza-Micaelli, & Xavier Clop ( 2017) La Cronología Radiocarbónica de las Primeras Manifestaciones Megalíticas en el Sureste de la Península Ibérica: Las Necrópolis de las Churuletas, la Atalaya y Llano del Jautón (Purchena, Almería). Trabajos de Prehistoria [0082-5638] 74(2):257-277.",NA,NA,Cortell2022
Spain,Teruel,4,Holocene,NA,Hoya Quemada,NA,Hoya Quemada,NA,3370,20,0.00593471810089021,intcal20,GrN15895,NA,NA,NA,40.25008,-0.7307,NA,NA,Carbon,Carbón,Larga,Si,NA,NA,NA,NA,Cortell2022
Spain,Teruel,4,Holocene,NA,Muela del Sabucar,NA,Muela del Sabucar,NA,3915,20,0.00510855683269476,intcal20,GrN15896,NA,NA,NA,40.51838,-1.0754,NA,NA,Carbon,Carbón,Larga,Si,NA,NA,NA,NA,Cortell2022
Spain,Teruel,4,Holocene,NA,El Castillo,"Corte X6, fase IIA","El Castillo Corte X6, fase IIA",NA,3455,20,0.00578871201157742,intcal20,GrN17574,NA,Agregado,NA,40.33527,-1.61138,NA,NA,Semilla/fruto,Cereal,Corta,NA,Harrison and Wainwright 1991,"Harrison, Richard J., & J. Wainwright (1991) Dating the Bronze Age in Spain: A Refined Chronology for the High-Altitude Settlement of El Castillo (Frías de Albarracín, Prov. Teruel). Oxford Journal of Archaeology [1468-0092] 10(3):261-268",NA,NA,Cortell2022
Spain,Teruel,4,Holocene,NA,El Castillo,"Corte X6, fase IIB","El Castillo Corte X6, fase IIB",NA,3595,20,0.00556328233657858,intcal20,GrN17575,NA,Agregado,NA,40.33527,-1.61138,NA,NA,Semilla/fruto,Cereal,Corta,NA,Harrison and Wainwright 1991,"Harrison, Richard J., & J. Wainwright (1991) Dating the Bronze Age in Spain: A Refined Chronology for the High-Altitude Settlement of El Castillo (Frías de Albarracín, Prov. Teruel). Oxford Journal of Archaeology [1468-0092] 10(3):261-268",NA,NA,Cortell2022
Spain,Teruel,4,Holocene,NA,El Castillo,"Corte B6, fase IIC","El Castillo Corte B6, fase IIC",NA,3615,20,0.00553250345781466,intcal20,GrN17576,NA,Agregado,NA,40.33527,-1.61138,NA,NA,Semilla/fruto,Cereal,Corta,NA,Harrison and Wainwright 1991,"Harrison, Richard J., & J. Wainwright (1991) Dating the Bronze Age in Spain: A Refined Chronology for the High-Altitude Settlement of El Castillo (Frías de Albarracín, Prov. Teruel). Oxford Journal of Archaeology [1468-0092] 10(3):261-268",NA,NA,Cortell2022
Spain,Málaga,4,Holocene,NA,Cuesta de los Almendrillos,NA,Cuesta de los Almendrillos,NA,4450,20,0.00449438202247191,intcal20,GrN25302,NA,NA,NA,36.70833,-4.83485,NA,NA,Hueso,Hueso,Corta,NA,Fernández y Marquez 2002,"Fernández Ruiz, Juan, & José Enrique Márquez Romero (2002) Actividad Arqueológica de Urgencia en la Finca de la Dehesilla de Ardite. Alzoaina (Málaga). En Anuario Arqueológico de Andalucía 1999, vol. 3. Actividades de Urgencia. Pp. 596-602. Sevilla: Consejería de Cultura, Junta de Andalucía.",NA,NA,Cortell2022
Spain,Murcia,4,Holocene,NA,La Bastida,"building 3, pithos burial 23, individual 2","La Bastida building 3, pithos burial 23, individual 2",NA,3360,20,0.00595238095238095,intcal20,KIA400151,NA,Singular,NA,37.75977,-1.55688,NA,NA,Hueso,Humano,Corta,NA,Lull et al. 2015,"Lull, Vicente, Rafael Micó, Cristina Rihuete Herrada, & Roberto Risch (2015a) When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series. Radiocarbon [0033-8222] 57(5):1029-1040",NA,mismo femur que KIA-40015 y -40015-2,Cortell2022
Spain,Murcia,4,Holocene,NA,La Bastida,"building 3, pithos burial 18","La Bastida building 3, pithos burial 18",NA,3405,20,0.00587371512481645,intcal20,KIA40099,NA,NA,NA,37.75977,-1.55688,NA,NA,Semilla/fruto,Cereal,Corta,NA,Lull et al. 2015,"Lull, Vicente, Rafael Micó, Cristina Rihuete Herrada, & Roberto Risch (2015a) When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series. Radiocarbon [0033-8222] 57(5):1029-1040",NA,NA,Cortell2022
Spain,Murcia,4,Holocene,NA,La Bastida,NA,La Bastida,NA,3604,20,0.00554938956714761,intcal20,KIA50634,NA,Singular,NA,37.75977,-1.55688,NA,NA,Hueso,Humano,Corta,NA,Meadows et al. 2015,"Meadows, John, Matthias Hüls, & Ralph Schneider ( 2015 ) Accuracy and Reproducibility of 14C Measurements at the Leibniz-Labor (Kiel): A First Response to Lull et al., ""When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series."" Radiocarbon [0033-8222] 57(5):1041-1047",NA,misma muestra que Kia-39255,Cortell2022
Spain,Almería,4,Holocene,NA,Lugarico Viejo,Ceramica (en museo),Lugarico Viejo Ceramica (en museo),NA,3731,20,0.00536049316537121,intcal20,MAMS15948,NA,NA,NA,37.24966,-1.96242,NA,NA,Semilla/fruto,Vicia,Corta,Si,Lull et al. 2015,"Lull, Vicente, Rafael Micó, Cristina Rihuete Herrada, & Roberto Risch (2015) Transition and Conflict at the End of the 3rd Millennium BC in South Iberia. En 2000 - Ein Klimasturz Als Ursache Für Den Zerfall der Alten Welt, vol. 12. Harald Meller, Helge Wolfgang Arz, Reinhard Jung & Roberto Risch, eds. Pp. 365-407. Tagungen des Landesmuseums für Vorgeshichte Halle. Halle: Landesmuseum für Vorgeschichte.",NA,NA,Cortell2022
Spain,València,4,Holocene,NA,Cara-sol de Vernissa,-,Cara-sol de Vernissa -,NA,4727,20,0.00423101332769198,intcal20,MAMS18259,NA,Singular,NA,38.9676,-0.563,NA,NA,Hueso,Humano,Corta,NA,NA,NA,NA,NA,Cortell2022
Spain,Alacant,4,Holocene,NA,Cova de l'Or,Capa 2,Cova de l'Or Capa 2,NA,3899,20,0.00512952038984355,intcal20,MAMS19064,NA,Singular,NA,38.84462,-0.36296,NA,NA,Hueso,Humano,Corta,NA,NA,NA,NA,NA,Cortell2022
Spain,Murcia,4,Holocene,NA,La Bastida,NA,La Bastida,NA,3642,20,0.00549148819330038,intcal20,MAMS19929,NA,NA,NA,37.75977,-1.55688,NA,NA,Hueso,Hueso,Corta,NA,NA,NA,NA,NA,Cortell2022
Spain,S,4,Holocene,Early Neolithic,Cariguela,NA,NA,NA,6260,20,0.0032,intcal20,Pta9163,NA,NA,NA,NA,NA,466350,4151579,HB,NA,NA,NA,NA,Fernandez et al. 2007,NA,NA,Bernabeu2016
Spain,Almería,4,Holocene,NA,Necrópolis de los Millares,Tumba 71,Necrópolis de los Millares Tumba 71,NA,3961,20,0.00504922999242616,intcal20,SUERC82840,-19,Singular,NA,36.96318,-2.51404,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2000,"Aranda, G., Diaz-Zorita, M., Hamilton, D., Milesi, L., Sánchez Romero, M. 2020. The radiocarbon chronology and temporality of the megalithc cementery of Los Millares (Almería, Spain).",NA,NA,Cortell2022
Spain,Castelló,4,Holocene,NA,Abrigo de la Sima de la Higuera,NA,Abrigo de la Sima de la Higuera,NA,5790,20,0.00345423143350604,intcal20,UCIAMS174143,NA,singular,NA,39.99432,-0.54365,NA,NA,Hueso,Ovis / Capra,Corta,Si,Inédita,Inédita,NA,NA,Cortell2022
Spain,València,4,Holocene,NA,Cueva de la Cocina,García,Cueva de la Cocina García,NA,3590,20,0.00557103064066852,intcal20,UCIAMS174144,NA,Singular,NA,39.25201,-0.72601,NA,NA,Hueso,Bos Taurus,Corta,Si,NA,NA,NA,NA,Cortell2022
Spain,València,4,Holocene,NA,Cueva de la Cocina,Fortea,Cueva de la Cocina Fortea,NA,3725,20,0.00536912751677852,intcal20,UCIAMS174146,NA,Singular,NA,39.25201,-0.72601,NA,NA,Hueso,Ovis Aries,Corta,Si,NA,NA,NA,NA,Cortell2022
Spain,Alacant,4,Holocene,NA,Cova de la Pastora,-,Cova de la Pastora -,NA,4480,20,0.00446428571428571,intcal20,UCIAMS66305,NA,Singular,NA,38.6585,-0.43696,NA,NA,Hueso,Humano,Corta,NA,NA,NA,NA,NA,Cortell2022
Spain,Alacant,4,Holocene,NA,Cova de la Pastora,-,Cova de la Pastora -,NA,3515,20,0.00568990042674253,intcal20,UCIAMS66306,NA,Singular,NA,38.6585,-0.43696,NA,NA,Hueso,Humano,Corta,NA,NA,NA,NA,NA,Cortell2022
Spain,Alacant,4,Holocene,NA,Cova de la Pastora,-,Cova de la Pastora -,NA,3490,20,0.00573065902578797,intcal20,UCIAMS66308,NA,Singular,NA,38.6585,-0.43696,NA,NA,Hueso,Humano,Corta,NA,NA,NA,NA,NA,Cortell2022
Spain,Alacant,4,Holocene,NA,Cova de la Pastora,-,Cova de la Pastora -,NA,4510,20,0.00443458980044346,intcal20,UCIAMS66309,NA,Singular,NA,38.6585,-0.43696,NA,NA,Hueso,Humano,Corta,NA,NA,NA,NA,NA,Cortell2022
