ID,period,undiag.lithics,burins,notch.dent,MP.tools,dent.sickle,blade.tech,end.scraper,ret.blade,invret.blade,microburin,backed,trapeze,triangle,truncation,bifacial.pt,flake.core,total.lithics,citation
Mas Duran (S M7),MNEOL,5,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,11,"Plasencia, 2016"
Mas Duran (S G10),MNEOL,0,0,0,0,0,7,0,1,0,0,0,1,0,0,0,0,9,"Plasencia, 2016"
Mas Duran (S 11-4),MNEOL,2,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,7,"Plasencia, 2016"
Mas Duran (S M15),MNEOL,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,7,"Plasencia, 2016"
Mas Duran (S G5),MNEOL,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,"Plasencia, 2016"
Mas Duran (S G12),MNEOL,0,0,0,0,0,3,0,1,0,0,0,2,0,0,1,0,7,"Plasencia, 2016"
Mas Duran (S 7-7),MNEOL,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,"Plasencia, 2016"
Ereta I,LNEOL,52,2,20,0,2,3,3,70,2,0,0,7,0,6,82,0,249,"Juan Cabanilles, 2008"
Ereta II,LNEOL,70,0,11,0,1,0,2,34,1,0,2,2,0,9,95,0,227,"Juan Cabanilles, 2008"
Niuet (silo 6 level I & II),LNEOL,900,1,20,0,0,62,6,15,9,0,3,1,0,5,13,0,1035,"García-Puchol, 2005"
"Quintaret, Q228-UE1161",LNEOL,182,0,3,0,0,8,0,6,0,0,0,2,0,0,1,0,202,"García-Puchol et al,. 2014"
Ereta III,LNEOL,72,0,10,0,0,0,1,34,0,0,0,0,0,6,66,0,189,"Juan Cabanilles, 2008"
Ereta IV,LNEOL,113,0,29,0,2,0,6,69,2,0,0,3,0,8,184,0,416,"Juan Cabanilles, 2008"
Carrer París UE12,LNEOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,"Gibaja et al., 2007"
Arenal AII,LNEOL,626,2,9,0,0,85,1,29,0,0,1,0,1,11,9,3,777,"García-Puchol, 2005"
Palomar n 3,UP,1620,3,6,0,0,645,9,35,0,0,43,0,0,5,0,0,2366,"De la Peña, 2010"
Palomar n 4,UP,558,1,3,0,0,339,1,52,0,0,14,0,0,4,0,0,972,"De la Peña, 2010"
Palomar n 5,UP,381,0,3,0,0,108,0,15,0,0,3,0,0,2,0,0,512,"De la Peña, 2010"
Palomar n 6,UP,249,0,0,0,1,9,0,3,0,0,0,0,0,0,0,0,262,"De la Peña, 2010"
Mallaetes sector FGH (10),UP,5,1,1,0,0,0,17,4,0,0,5,0,0,1,0,0,34,"De la Peña, 2011:285"
Mallaetes sector FGH (11),UP,1,4,0,0,0,1,0,0,0,0,8,0,0,0,1,0,15,"De la Peña, 2010"
Mallaetes sector FGH (14-20),UP,3,0,3,2,0,2,8,2,0,0,4,0,0,0,0,0,24,"De la Peña, 2010"
Mallaetes IX sector I,UP,19,2,2,0,0,7,6,4,0,0,1,0,0,2,0,0,43,"De la Peña, 2010"
Mallaetes X sector I,UP,6,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,13,"De la Peña, 2010"
Mallaetes XI sector I,UP,3,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,10,"De la Peña, 2010"
Mallaetes XI sector E,UP,26,0,0,0,0,2,8,3,0,0,1,0,0,3,0,0,43,"De la Peña, 2011:500"
Mallaetes XII sector E,UP,24,0,2,1,0,0,7,1,0,0,0,0,0,0,0,0,35,"De la Peña, 2010"
Mallaetes XIII sector D,UP,12,2,2,0,0,4,13,3,0,0,3,0,0,0,0,0,39,"De la Peña, 2011:509"
Parpalló layers 1-13,UP,8115,776,974,0,0,4523,1709,723,3,0,709,2,70,189,2,0,17795,"Aura, 1995"
La Coca,MP,42,1,18,11,0,11,50,0,0,0,18,0,0,0,0,270,1001,Fernández Peris 1998
Alt de la Capella,MP,8,0,2,10,0,0,0,0,0,0,0,0,0,0,0,4,64,Barciela y Molina 2005
Bancals de Pere Jordi,MP,102,0,13,21,0,0,5,0,0,0,3,0,0,0,2,44,236,Eixea y Villaverde 2012
Los Aljezares,MP,161,0,6,14,0,0,0,4,0,0,0,0,0,0,0,0,532,Eixea et al. 2018
Los Majones,MP,20,0,0,4,0,2,0,1,0,0,0,0,0,0,1,7,67,Bel y Eixea 2015
La Llacuna,MP,75,1,4,12,0,32,5,25,0,0,3,0,0,0,1,6,213,Bel y Eixea 2015
Majones Llacuna,MP,57,3,3,8,0,33,7,26,0,0,15,0,0,0,0,0,156,Bel y Eixea 2015
Pla del Palau,MP,92,2,7,14,0,32,9,22,0,0,8,0,0,2,3,0,205,Bel y Eixea 2015
SantaMairaEPI,EPI,457,2,0,0,0,176,114,42,0,6,15,0,5,10,0,0,0,Vadillo Tesis
SantaMairaML,MESO,32,2,6,0,0,490,210,0,0,12,0,0,0,74,0,0,0,Vadillo Tesis
SantaMairaMSF,UP,172,0,0,0,0,112,49,0,0,5,0,0,0,29,0,0,879,Vadillo Tesis
Salt 0-1,MP,62,0,3,15,0,0,0,0,0,0,0,0,0,0,0,2,86,
Salt 1,MP,359,0,7,57,0,0,0,0,0,0,0,0,0,0,0,44,481,
Salt 1-2,MP,66,1,2,22,0,0,0,0,0,0,0,0,0,0,0,22,118,
Salt 2,MP,81,0,4,57,0,0,1,0,0,0,0,0,0,0,0,14,161,
Salt 2-3,MP,88,0,2,28,0,0,0,0,0,0,0,0,0,0,0,7,134,
Salt 3,MP,1015,2,22,185,0,0,3,0,0,0,0,0,0,0,0,92,1357,
Salt 3-4,MP,428,2,6,72,0,0,1,0,0,0,0,0,0,0,0,8,554,
Salt 4,MP,209,0,3,23,0,0,0,0,0,0,0,0,0,0,0,9,256,
Salt 4-5,MP,337,0,3,53,0,0,2,0,0,0,0,0,0,0,0,36,442,
Salt 5,MP,612,1,4,68,0,0,3,0,0,0,0,0,0,0,0,12,720,
Salt 5-6,MP,231,0,6,32,0,0,2,0,0,0,0,0,0,0,0,16,294,
Salt 6,MP,241,0,3,48,0,0,1,0,0,0,0,0,0,0,0,20,323,
Salt 6-7,MP,69,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,91,
Pastor,MP,57,1,38,421,0,0,4,0,0,0,0,0,0,0,0,0,521,Galván et al. 2008
Quebrada I,MP,9,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,48,Villaverde et al. 2012
Quebrada II,MP,25,0,14,127,0,0,0,0,0,0,0,0,0,0,0,0,166,Villaverde et al. 2012
Quebrada III,MP,19,0,19,161,0,0,0,0,0,0,0,0,0,0,0,0,199,Villaverde et al. 2012
Quebrada IV,MP,156,5,35,282,0,0,0,0,0,0,0,0,0,0,0,0,478,Villaverde et al. 2017
Quebrada VIII,MP,12,1,9,52,0,0,0,0,0,0,0,0,0,0,0,0,74,Villaverde et al. 2017
Bolomor Ia,MP,35,0,194,214,0,0,8,0,0,0,0,0,0,0,0,0,451,Fernández Peris 1998
Bolomor Ib/Ic,MP,9,0,66,89,0,0,3,0,0,0,0,0,0,0,0,0,167,Fernández Peris 1998:139
Bolomor II,MP,14,0,64,166,0,0,12,0,0,0,0,0,0,0,0,0,256,Fernández Peris 1998:161
Bolomor III,MP,11,0,26,49,0,0,3,0,0,0,0,0,0,0,0,0,89,Fernández Peris 1998:180
Bolomor IV,MP,34,1,170,194,0,0,10,0,0,0,0,0,0,0,0,0,409,Fernández Peris 1998:200
Bolomor V,MP,2,0,34,53,0,0,2,0,0,0,0,0,0,0,0,0,91,Fernández Peris 1998:223
Bolomor VI,MP,0,0,10,14,0,0,2,0,0,0,0,0,0,0,0,0,26,Fernández Peris 1998:244
Bolomor VII,MP,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,8,Fernández Peris 1998:377
Bolomor XII,MP,4,0,32,36,0,0,4,0,0,0,0,0,0,0,0,0,76,Fernández Peris 1998:269
Bolomor XIII,MP,2,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,19,Fernández Peris 1998:295
Bolomor XV,MP,12,0,21,17,0,0,2,0,0,0,0,0,0,0,0,0,52,Fernández Peris 1998:310
Bolomor XVII,MP,17,0,26,48,0,0,3,0,0,0,0,0,0,0,0,0,94,Fernández Peris 1998:326
OR Ia,ENEOL,39,0,80,0,0,220,1,84,3,0,9,61,0,21,0,0,518,Juan Cabanilles 2008:235
OR Ib,ENEOL,56,0,107,0,0,182,3,114,0,0,7,56,0,17,2,0,544,Juan Cabanilles 2008:235
OR II,ENEOL,37,0,42,0,1,104,2,56,0,0,6,34,0,18,4,0,304,Juan Cabanilles 2008:235
OR III,ENEOL,15,0,19,0,0,58,0,20,0,0,1,15,0,2,2,0,132,Juan Cabanilles 2008:235
Falguera I-II,MESO,8,1,4,0,0,0,3,0,2,0,1,5,0,1,0,0,25,García-Puchol et al. 2008
Falguera VII sup,MESO,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,García-Puchol y Molina 2008
Falguera VII inf,MESO,1,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,7,García-Puchol y Molina 2008:282
Falguera VI,ENEOL,9,0,3,0,0,0,0,0,1,0,1,5,0,1,0,0,20,García-Puchol y Molina 2008:284
Falguera V,MNEOL,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,5,García-Puchol y Molina 2008:284
Falguera IV,LNEOL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,García-Puchol y Molina 2008:284
Cova Negra X-IX,MP,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,36,Eixea 2015:826
Cova Negra I,MP,2,0,9,94,0,0,0,0,0,0,2,0,0,0,0,0,107,"Eixea 2015:331,338,344"
Cova Negra II,MP,11,0,16,176,0,0,1,0,0,0,2,0,0,0,0,0,206,"Eixea 2015:375,382,391"
Cova Negra III,MP,18,0,29,302,0,0,3,0,0,0,3,0,0,0,0,0,355,"Eixea 2015:425,433,441"
Cova Negra IV,MP,16,0,35,401,0,0,0,0,0,0,2,0,0,0,0,0,454,"Eixea 2015:480,493,507"
Cova Negra V,MP,8,0,15,289,0,0,2,0,0,0,0,0,0,0,0,0,314,"Eixea 2015:588,595,603"
Cova Negra VII,MP,4,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,16,Eixea 2015:630
Cova Negra VIII,MP,2,0,9,52,0,0,0,0,0,0,0,0,0,0,0,0,63,"Eixea 2015:647,652"
Cova Negra XIV-XII,MP,1,2,2,24,0,0,3,0,0,0,0,0,0,0,0,0,32,Eixea 2015:802
Cova Negra XII-XI,MP,1,1,4,60,0,0,0,0,0,0,0,0,0,0,0,0,66,Eixea 2015:814
Cova Negra VII-VI,MP,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,64,Eixea 2015:839
Cova Negra IV-I,MP,10,2,17,188,0,0,3,0,0,0,3,0,0,0,0,0,223,Eixea 2015:857
L'Abric dels Colls,EPI,17,8,4,2,0,0,34,0,0,0,104,0,0,18,0,0,187,Rodríguez Baylach 2014:16-17
Llatas 1,MESO,2278,0,11,0,0,454,2,31,0,0,13,18,6,13,0,0,2826,"García-Puchol, 2005"
Llatas 2,MESO,1319,0,21,0,0,245,2,33,0,0,6,13,3,11,0,0,1653,"García-Puchol, 2005"
Llatas 3,MESO,617,1,4,0,0,76,2,9,0,0,6,1,3,2,0,0,721,"García-Puchol, 2005"
Llatas 4,MESO,114,0,0,0,0,32,1,1,0,0,1,0,0,0,0,0,149,"García-Puchol, 2005"
Llatas 5,MESO,101,0,1,0,0,19,3,3,0,0,2,0,0,0,0,0,129,"García-Puchol, 2005"
